driver_age_band,driver_experience,time_of_day,vehicle_service_year,vehicle_type,weather,road_surface,light_condition,driver_vehicle_relation,vehicle_owner,vehicle_defect,Accident_severity
18-30,5-10yr,Night,Above 10yr,Pickup,Raining,Asphalt roads,Darkness - lights lit,Owner,Owner,No defect,Slight Injury
18-30,5-10yr,Afternoon,2-5yrs,Other,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Slight Injury
Under 18,5-10yr,Morning,2-5yrs,Automobile,Raining,Asphalt roads,Daylight,Owner,Owner,Unknown,Slight Injury
18-30,2-5yr,Night,Unknown,Automobile,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Slight Injury
31-50,5-10yr,Night,5-10yrs,Lorry,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,7,Slight Injury
31-50,Below 1yr,Night,Unknown,Bajaj,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,7,Slight Injury
18-30,1-2yr,Night,Unknown,Automobile,Raining and Windy,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Slight Injury
Unknown,2-5yr,Afternoon,Unknown,Lorry,Cloudy,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
31-50,5-10yr,Afternoon,5-10yrs,Lorry,Cloudy,Unknown,Daylight,Employee,Owner,No defect,Slight Injury
31-50,5-10yr,Afternoon,Unknown,Automobile,Cloudy,Asphalt roads,Daylight,Employee,Governmental,No defect,Slight Injury
Under 18,Unknown,Afternoon,Unknown,Unknown,Raining,Asphalt roads,Darkness - lights lit,Unknown,Unknown,Unknown,Slight Injury
Under 18,Above 10yr,Afternoon,Unknown,Automobile,Raining,Asphalt roads,Darkness - lights lit,Employee,Owner,Unknown,Slight Injury
Under 18,Above 10yr,Night,Unknown,Public_transport,Normal,Asphalt roads,Darkness - lights lit,Employee,Governmental,No defect,Slight Injury
31-50,Above 10yr,Night,Unknown,Public_transport,Normal,Asphalt roads,Darkness - lights lit,Owner,Owner,Unknown,Slight Injury
Over 51,Unknown,Evening,Unknown,Other,Normal,Asphalt roads,Darkness - no lighting,Employee,Owner,Unknown,Slight Injury
31-50,5-10yr,Evening,Below 1yr,Automobile,Normal,Asphalt roads,Darkness - no lighting,Employee,Owner,Unknown,Slight Injury
31-50,2-5yr,Evening,1-2yr,Automobile,Normal,Asphalt roads,Darkness - no lighting,Employee,Organization,Unknown,Slight Injury
18-30,2-5yr,Evening,1-2yr,Public_transport,Normal,Gravel roads,Darkness - lights lit,Employee,Owner,Unknown,Slight Injury
Over 51,Above 10yr,Afternoon,Unknown,Automobile,Normal,Asphalt roads,Daylight,Owner,Owner,No defect,Slight Injury
Over 51,1-2yr,Afternoon,Unknown,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
18-30,Above 10yr,Afternoon,Unknown,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
Over 51,5-10yr,Afternoon,Unknown,Other,Normal,Asphalt roads,Darkness - lights lit,Owner,Owner,No defect,Slight Injury
18-30,Above 10yr,Morning,5-10yrs,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
