driver_age_band,driver_experience,time_of_day,vehicle_type,weather,road_surface,light_condition,Accident_severity
18-30,1-2yr,Evening,Other,Raining,Asphalt roads,Darkness - no lighting,Slight Injury
31-50,5-10yr,Afternoon,Automobile,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
31-50,Unknown,Afternoon,Automobile,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
Unknown,5-10yr,Afternoon,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
18-30,1-2yr,Afternoon,Lorry,Normal,Asphalt roads,Daylight,Slight Injury
18-30,2-5yr,Morning,Other,Raining,Asphalt roads,Daylight,Slight Injury
31-50,5-10yr,Morning,Pickup,Raining,Asphalt roads,Daylight,Slight Injury
18-30,1-2yr,Morning,Automobile,Normal,Asphalt roads,Daylight,Serious Injury
Over 51,Above 10yr,Morning,Lorry,Normal,Asphalt roads,Daylight,Serious Injury
Unknown,1-2yr,Afternoon,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
18-30,2-5yr,Afternoon,Public_transport,Raining,Unknown,Daylight,Slight Injury
31-50,Unknown,Morning,Lorry,Normal,Asphalt roads,Daylight,Slight Injury
31-50,1-2yr,Morning,Lorry,Normal,Asphalt roads,Daylight,Slight Injury
18-30,5-10yr,Afternoon,Lorry,Normal,Asphalt roads,Daylight,Slight Injury
18-30,5-10yr,Afternoon,Pickup,Normal,Asphalt roads,Daylight,Slight Injury
18-30,1-2yr,Evening,Pickup,Raining,Asphalt roads,Darkness - lights lit,Slight Injury
18-30,5-10yr,Night,Lorry,Raining and Windy,Asphalt roads,Darkness - lights lit,Slight Injury
18-30,5-10yr,Night,Lorry,Raining and Windy,Asphalt roads,Darkness - lights lit,Slight Injury
31-50,1-2yr,Afternoon,Other,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
18-30,5-10yr,Afternoon,Unknown,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
18-30,Below 1yr,Afternoon,Other,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
18-30,5-10yr,Afternoon,Automobile,Normal,Other,Darkness - lights lit,Slight Injury
31-50,5-10yr,Evening,Pickup,Raining,Asphalt roads,Darkness - lights lit,Slight Injury
31-50,5-10yr,Morning,Automobile,Normal,Asphalt roads,Daylight,Serious Injury
Over 51,5-10yr,Morning,Public_transport,Normal,Asphalt roads,Daylight,Serious Injury
Under 18,2-5yr,Morning,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
18-30,5-10yr,Morning,Other,Normal,Asphalt roads,Daylight,Slight Injury
18-30,Above 10yr,Afternoon,Public_transport,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
18-30,Below 1yr,Afternoon,Automobile,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
18-30,5-10yr,Evening,Lorry,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
31-50,2-5yr,Afternoon,Lorry,Normal,Other,Daylight,Slight Injury
31-50,1-2yr,Evening,Automobile,Raining,Asphalt roads,Darkness - lights lit,Slight Injury
18-30,2-5yr,Evening,Lorry,Raining,Asphalt roads,Darkness - lights lit,Slight Injury
18-30,2-5yr,Afternoon,Unknown,Raining,Unknown,Darkness - lights lit,Slight Injury
Over 51,Above 10yr,Afternoon,Public_transport,Raining,Asphalt roads,Darkness - lights lit,Slight Injury
18-30,2-5yr,Evening,Automobile,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
31-50,Above 10yr,Afternoon,Lorry,Normal,Asphalt roads,Daylight,Slight Injury
31-50,Above 10yr,Afternoon,Pickup,Normal,Asphalt roads,Darkness - no lighting,Serious Injury
31-50,1-2yr,Afternoon,Unknown,Normal,Asphalt roads,Darkness - no lighting,Serious Injury
31-50,2-5yr,Afternoon,Lorry,Normal,Asphalt roads,Darkness - no lighting,Serious Injury
Over 51,2-5yr,Afternoon,Automobile,Normal,Asphalt roads,Darkness - lights lit,Serious Injury
18-30,5-10yr,Afternoon,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
31-50,5-10yr,Afternoon,Lorry,Normal,Asphalt roads,Daylight,Slight Injury
18-30,Above 10yr,Afternoon,Public_transport,Normal,Asphalt roads,Daylight,Slight Injury
18-30,Below 1yr,Morning,Motorcycle,Other,Asphalt roads,Daylight,Slight Injury
18-30,Above 10yr,Morning,Lorry,Normal,Asphalt roads,Daylight,Slight Injury
31-50,5-10yr,Morning,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
18-30,5-10yr,Afternoon,Lorry,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
18-30,2-5yr,Afternoon,Automobile,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
31-50,2-5yr,Afternoon,Pickup,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
31-50,5-10yr,Afternoon,Automobile,Normal,Earth roads,Darkness - lights lit,Slight Injury
