driver_age_band,driver_experience,time_of_day,driver_education,vehicle_service_year,vehicle_type,weather,road_surface,light_condition,driver_sex,driver_vehicle_relation,vehicle_owner,vehicle_defect,Accident_severity
Under 18,5-10yr,Afternoon,Junior high school,Above 10yr,Other,Normal,Asphalt roads,Daylight,Female,Employee,Owner,Unknown,Slight Injury
18-30,Below 1yr,Afternoon,Junior high school,Unknown,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
31-50,5-10yr,Morning,Elementary school,Unknown,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,2-5yr,Morning,Junior high school,Above 10yr,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,Above 10yr,Afternoon,Junior high school,Unknown,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,1-2yr,Evening,Junior high school,Unknown,Lorry,Raining,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
Over 51,Below 1yr,Evening,High school,2-5yrs,Automobile,Raining,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
Over 51,Above 10yr,Morning,Elementary school,Above 10yr,Other,Raining,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
Over 51,1-2yr,Morning,High school,5-10yrs,Unknown,Raining,Asphalt roads with some distress,Daylight,Male,Owner,Owner,Unknown,Slight Injury
31-50,2-5yr,Evening,Junior high school,5-10yrs,Other,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
31-50,5-10yr,Morning,Unknown,Unknown,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,2-5yr,Morning,High school,Unknown,Pickup,Normal,Asphalt roads,Darkness - lights lit,Male,Owner,Governmental,No defect,Slight Injury
Over 51,1-2yr,Evening,Junior high school,Unknown,Public_transport,Raining,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
18-30,1-2yr,Morning,Elementary school,Unknown,Automobile,Raining,Asphalt roads,Daylight,Female,Employee,Owner,No defect,Slight Injury
18-30,1-2yr,Morning,High school,Unknown,Other,Raining,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,5-10yr,Morning,Elementary school,5-10yrs,Lorry,Raining,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,5-10yr,Afternoon,Junior high school,5-10yrs,Lorry,Raining,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
Over 51,1-2yr,Evening,Junior high school,2-5yrs,Unknown,Raining,Asphalt roads,Daylight,Male,Owner,Owner,No defect,Serious Injury
Over 51,2-5yr,Evening,Junior high school,2-5yrs,Public_transport,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
Over 51,5-10yr,Evening,Junior high school,Unknown,Automobile,Normal,Asphalt roads,Daylight,Male,Owner,Owner,No defect,Slight Injury
18-30,2-5yr,Evening,High school,Above 10yr,Lorry,Normal,Gravel roads,Daylight,Male,Owner,Organization,No defect,Slight Injury
18-30,2-5yr,Evening,Elementary school,Above 10yr,Pickup,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Serious Injury
Over 51,5-10yr,Evening,Elementary school,Above 10yr,Unknown,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,Unknown,Slight Injury
31-50,1-2yr,Evening,Junior high school,Unknown,Lorry,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,Unknown,Slight Injury
18-30,Unknown,Afternoon,Unknown,Unknown,Public_transport,Normal,Asphalt roads,Darkness - lights lit,Male,Unknown,Owner,Unknown,Slight Injury
Unknown,Below 1yr,Morning,Elementary school,Unknown,Lorry,Raining,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,Unknown,Slight Injury
Under 18,2-5yr,Morning,Junior high school,Unknown,Public_transport,Raining,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
18-30,1-2yr,Morning,Elementary school,Unknown,Motorcycle,Raining,Asphalt roads,Daylight,Male,Owner,Owner,Unknown,Slight Injury
18-30,5-10yr,Afternoon,Junior high school,Unknown,Public_transport,Raining,Asphalt roads,Daylight,Male,Owner,Owner,Unknown,Slight Injury
31-50,2-5yr,Afternoon,Junior high school,Unknown,Lorry,Unknown,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
18-30,2-5yr,Afternoon,Junior high school,Unknown,Automobile,Unknown,Asphalt roads,Darkness - lights lit,Male,Employee,Governmental,No defect,Slight Injury
Under 18,2-5yr,Afternoon,High school,Unknown,Lorry,Raining,Asphalt roads,Darkness - lights unlit,Male,Employee,Governmental,No defect,Slight Injury
Over 51,Above 10yr,Morning,Junior high school,Unknown,Automobile,Raining,Gravel roads,Darkness - lights unlit,Male,Employee,Owner,No defect,Slight Injury
18-30,2-5yr,Afternoon,Junior high school,Unknown,Pickup,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,2-5yr,Afternoon,Junior high school,Unknown,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,5-10yr,Afternoon,Junior high school,Above 10yr,Unknown,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
Over 51,1-2yr,Afternoon,Junior high school,Unknown,Other,Normal,Earth roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
Over 51,1-2yr,Afternoon,Elementary school,Above 10yr,Automobile,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
Over 51,Above 10yr,Afternoon,Junior high school,Unknown,Public_transport,Normal,Unknown,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
31-50,Above 10yr,Morning,Junior high school,Unknown,Public_transport,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
31-50,Above 10yr,Afternoon,Elementary school,Unknown,Lorry,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
Over 51,1-2yr,Afternoon,Junior high school,Unknown,Automobile,Normal,Earth roads,Darkness - lights unlit,Male,Employee,Owner,No defect,Slight Injury
Unknown,Unknown,Afternoon,Unknown,2-5yrs,Pickup,Normal,Asphalt roads,Darkness - lights unlit,Male,Unknown,Owner,No defect,Slight Injury
18-30,5-10yr,Afternoon,High school,Unknown,Pickup,Windy,Asphalt roads,Darkness - lights lit,Male,Owner,Owner,Unknown,Slight Injury
18-30,2-5yr,Afternoon,Elementary school,Unknown,Lorry,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,Unknown,Slight Injury
Unknown,Unknown,Afternoon,Unknown,Above 10yr,Automobile,Normal,Asphalt roads,Darkness - lights lit,Unknown,Unknown,Owner,Unknown,Slight Injury
Unknown,Unknown,Morning,Unknown,Unknown,Automobile,Normal,Asphalt roads,Darkness - lights lit,Male,Unknown,Owner,Unknown,Slight Injury
18-30,1-2yr,Afternoon,Junior high school,1-2yr,Unknown,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Serious Injury
18-30,1-2yr,Afternoon,Junior high school,Above 10yr,Other,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,Unknown,Serious Injury
Unknown,Above 10yr,Afternoon,Junior high school,5-10yrs,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
18-30,Above 10yr,Evening,High school,Unknown,Unknown,Raining,Asphalt roads,Darkness - lights lit,Male,Owner,Owner,No defect,Slight Injury
31-50,Above 10yr,Evening,Junior high school,5-10yrs,Public_transport,Raining,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
31-50,1-2yr,Evening,Junior high school,Unknown,Automobile,Cloudy,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,Unknown,Slight Injury
31-50,1-2yr,Evening,Junior high school,Unknown,Other,Cloudy,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
18-30,2-5yr,Evening,High school,Unknown,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Governmental,No defect,Slight Injury
31-50,2-5yr,Evening,Junior high school,Unknown,Other,Raining,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,1-2yr,Evening,Junior high school,Unknown,Lorry,Raining,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,5-10yr,Morning,Elementary school,Above 10yr,Pickup,Normal,Earth roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,5-10yr,Morning,Junior high school,5-10yrs,Public_transport,Normal,Asphalt roads,Daylight,Male,Employee,Governmental,No defect,Slight Injury
31-50,1-2yr,Morning,Junior high school,5-10yrs,Automobile,Windy,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
18-30,5-10yr,Evening,Elementary school,Above 10yr,Pickup,Raining,Asphalt roads,Darkness - lights lit,Male,Other,Owner,No defect,Slight Injury
18-30,2-5yr,Evening,Junior high school,1-2yr,Automobile,Raining,Asphalt roads,Darkness - lights lit,Male,Employee,Unknown,No defect,Slight Injury
18-30,5-10yr,Evening,Elementary school,Above 10yr,Lorry,Normal,Other,Darkness - lights lit,Male,Employee,Owner,No defect,Fatal Injury
Over 51,Above 10yr,Morning,Junior high school,Above 10yr,Automobile,Raining,Gravel roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,2-5yr,Morning,Elementary school,Above 10yr,Lorry,Other,Asphalt roads,Darkness - lights lit,Male,Owner,Owner,No defect,Slight Injury
31-50,5-10yr,Afternoon,Elementary school,5-10yrs,Lorry,Other,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
18-30,1-2yr,Afternoon,Junior high school,Unknown,Public_transport,Normal,Earth roads,Daylight,Male,Owner,Owner,No defect,Slight Injury
31-50,Above 10yr,Afternoon,Elementary school,1-2yr,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,5-10yr,Afternoon,Junior high school,5-10yrs,Other,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,2-5yr,Evening,Junior high school,5-10yrs,Other,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
31-50,Above 10yr,Evening,Elementary school,1-2yr,Other,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
Under 18,2-5yr,Evening,Junior high school,2-5yrs,Automobile,Normal,Earth roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,Above 10yr,Afternoon,Junior high school,1-2yr,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,Above 10yr,Afternoon,Junior high school,2-5yrs,Public_transport,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Serious Injury
31-50,Above 10yr,Evening,Junior high school,Unknown,Other,Normal,Asphalt roads,Daylight,Female,Owner,Owner,No defect,Slight Injury
18-30,Above 10yr,Evening,High school,Unknown,Lorry,Normal,Asphalt roads,Daylight,Male,Other,Owner,No defect,Slight Injury
Under 18,5-10yr,Evening,Junior high school,Unknown,Unknown,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Serious Injury
Under 18,Unknown,Evening,Elementary school,Unknown,Public_transport,Unknown,Asphalt roads,Darkness - lights lit,Male,Unknown,Organization,No defect,Serious Injury
Under 18,5-10yr,Night,Junior high school,Unknown,Other,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,Below 1yr,Night,Junior high school,Unknown,Other,Normal,Asphalt roads,Darkness - lights lit,Male,Owner,Governmental,Unknown,Slight Injury
31-50,5-10yr,Morning,Junior high school,Unknown,Automobile,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,Unknown,Slight Injury
31-50,2-5yr,Morning,Elementary school,Unknown,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
Unknown,2-5yr,Evening,Junior high school,2-5yrs,Pickup,Normal,Earth roads,Daylight,Male,Owner,Owner,No defect,Serious Injury
Under 18,2-5yr,Evening,Elementary school,5-10yrs,Automobile,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,Unknown,Serious Injury
Over 51,2-5yr,Afternoon,Junior high school,5-10yrs,Unknown,Normal,Asphalt roads,Daylight,Male,Owner,Owner,Unknown,Fatal Injury
18-30,Above 10yr,Afternoon,Junior high school,Unknown,Other,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Fatal Injury
Unknown,2-5yr,Evening,Junior high school,2-5yrs,Other,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
Under 18,1-2yr,Evening,Junior high school,5-10yrs,Unknown,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Serious Injury
Unknown,5-10yr,Afternoon,Junior high school,Unknown,Unknown,Normal,Other,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,2-5yr,Evening,Elementary school,Unknown,Other,Normal,Asphalt roads,Daylight,Male,Owner,Owner,No defect,Slight Injury
31-50,Below 1yr,Evening,Elementary school,Unknown,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
31-50,Unknown,Evening,Unknown,2-5yrs,Lorry,Normal,Asphalt roads,Daylight,Male,Unknown,Owner,Unknown,Slight Injury
18-30,Above 10yr,Evening,Junior high school,Unknown,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
18-30,1-2yr,Morning,High school,Unknown,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
18-30,5-10yr,Morning,Junior high school,Unknown,Lorry,Normal,Asphalt roads,Daylight,Male,Owner,Unknown,Unknown,Slight Injury
Over 51,Below 1yr,Evening,Junior high school,Unknown,Pickup,Normal,Asphalt roads,Daylight,Female,Employee,Owner,Unknown,Slight Injury
18-30,2-5yr,Night,Elementary school,Unknown,Taxi,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,5-10yr,Night,Junior high school,Unknown,Unknown,Normal,Asphalt roads,Daylight,Male,Employee,Governmental,Unknown,Slight Injury
18-30,5-10yr,Morning,Elementary school,Unknown,Automobile,Normal,Asphalt roads,Darkness - no lighting,Male,Employee,Owner,No defect,Slight Injury
18-30,5-10yr,Afternoon,Junior high school,2-5yrs,Lorry,Normal,Asphalt roads,Darkness - no lighting,Male,Employee,Governmental,Unknown,Slight Injury
Over 51,Unknown,Afternoon,Unknown,1-2yr,Public_transport,Normal,Asphalt roads,Darkness - no lighting,Male,Other,Owner,No defect,Slight Injury
Over 51,2-5yr,Afternoon,High school,Above 10yr,Pickup,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,1-2yr,Afternoon,Junior high school,Unknown,Unknown,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,5-10yr,Afternoon,Junior high school,Unknown,Other,Other,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
31-50,2-5yr,Afternoon,Junior high school,5-10yrs,Lorry,Other,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
31-50,No Licence,Afternoon,Junior high school,Unknown,Automobile,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
31-50,Above 10yr,Afternoon,Junior high school,2-5yrs,Pickup,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
Under 18,Above 10yr,Afternoon,Junior high school,Unknown,Lorry,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Fatal Injury
31-50,5-10yr,Afternoon,Junior high school,Unknown,Lorry,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Fatal Injury
31-50,2-5yr,Afternoon,High school,Unknown,Lorry,Normal,Earth roads,Darkness - lights lit,Male,Employee,Owner,No defect,Fatal Injury
31-50,2-5yr,Afternoon,High school,5-10yrs,Public_transport,Normal,Asphalt roads,Darkness - lights lit,Male,Owner,Owner,No defect,Fatal Injury
18-30,Below 1yr,Morning,Junior high school,Unknown,Public_transport,Raining,Unknown,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
18-30,Above 10yr,Morning,Junior high school,Unknown,Automobile,Raining,Asphalt roads,Darkness - lights lit,Male,Owner,Governmental,No defect,Slight Injury
31-50,Above 10yr,Morning,Junior high school,Unknown,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,2-5yr,Night,Elementary school,Unknown,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,2-5yr,Night,Junior high school,Above 10yr,Other,Normal,Asphalt roads,Daylight,Male,Employee,Governmental,No defect,Slight Injury
31-50,Above 10yr,Afternoon,Unknown,1-2yr,Public_transport,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
Under 18,5-10yr,Afternoon,Elementary school,Above 10yr,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,Below 1yr,Afternoon,Junior high school,Below 1yr,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
Under 18,Below 1yr,Afternoon,Elementary school,Above 10yr,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,Below 1yr,Afternoon,Junior high school,Unknown,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,5-10yr,Evening,High school,Unknown,Unknown,Normal,Asphalt roads,Daylight,Male,Owner,Owner,No defect,Serious Injury
Under 18,2-5yr,Afternoon,Junior high school,Above 10yr,Other,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
Under 18,5-10yr,Afternoon,Elementary school,Unknown,Pickup,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,Unknown,Slight Injury
Over 51,2-5yr,Afternoon,Junior high school,Unknown,Other,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,Unknown,Slight Injury
Unknown,Below 1yr,Afternoon,Junior high school,Unknown,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
18-30,2-5yr,Afternoon,Elementary school,Unknown,Pickup,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
18-30,2-5yr,Afternoon,Junior high school,Unknown,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
31-50,2-5yr,Afternoon,Junior high school,Above 10yr,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
18-30,5-10yr,Afternoon,Junior high school,Above 10yr,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
18-30,5-10yr,Afternoon,Junior high school,Above 10yr,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Serious Injury
18-30,Unknown,Afternoon,Junior high school,Unknown,Pickup,Raining,Asphalt roads,Daylight,Male,Employee,Unknown,Unknown,Serious Injury
18-30,5-10yr,Afternoon,Junior high school,Above 10yr,Pickup,Raining,Asphalt roads,Daylight,Male,Owner,Owner,No defect,Serious Injury
18-30,Below 1yr,Evening,Junior high school,Above 10yr,Public_transport,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,1-2yr,Morning,Junior high school,Above 10yr,Other,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
Over 51,Above 10yr,Morning,Junior high school,Unknown,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,Below 1yr,Morning,Junior high school,Unknown,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,2-5yr,Morning,Junior high school,Unknown,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,1-2yr,Afternoon,Junior high school,Above 10yr,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,5-10yr,Afternoon,Elementary school,Above 10yr,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
Under 18,Below 1yr,Evening,Junior high school,Above 10yr,Public_transport,Normal,Asphalt roads,Daylight,Male,Owner,Owner,No defect,Slight Injury
Unknown,Below 1yr,Evening,Junior high school,5-10yrs,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,2-5yr,Afternoon,Junior high school,Unknown,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Unknown,Unknown,Slight Injury
31-50,Below 1yr,Afternoon,Junior high school,Above 10yr,Lorry,Normal,Asphalt roads,Daylight,Male,Owner,Owner,Unknown,Slight Injury
31-50,5-10yr,Afternoon,Writing & reading,2-5yrs,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,5-10yr,Morning,Writing & reading,Above 10yr,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
18-30,2-5yr,Afternoon,Junior high school,Above 10yr,Public_transport,Normal,Asphalt roads,Daylight,Male,Employee,Governmental,Unknown,Slight Injury
31-50,Above 10yr,Afternoon,Junior high school,5-10yrs,Automobile,Normal,Unknown,Daylight,Male,Employee,Organization,No defect,Serious Injury
31-50,5-10yr,Afternoon,Junior high school,Above 10yr,Public_transport,Normal,Other,Daylight,Male,Employee,Organization,No defect,Serious Injury
Under 18,Above 10yr,Morning,Junior high school,2-5yrs,Public_transport,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Serious Injury
18-30,Below 1yr,Evening,Junior high school,2-5yrs,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Serious Injury
18-30,Below 1yr,Afternoon,Junior high school,2-5yrs,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Serious Injury
Over 51,5-10yr,Afternoon,Junior high school,1-2yr,Unknown,Normal,Asphalt roads with some distress,Darkness - lights lit,Male,Owner,Owner,No defect,Slight Injury
Over 51,2-5yr,Afternoon,Junior high school,Above 10yr,Automobile,Normal,Unknown,Darkness - lights lit,Female,Employee,Owner,Unknown,Slight Injury
31-50,Below 1yr,Evening,Elementary school,Above 10yr,Automobile,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,Unknown,Slight Injury
18-30,5-10yr,Evening,Junior high school,Unknown,Unknown,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,Above 10yr,Evening,High school,1-2yr,Automobile,Raining,Asphalt roads,Daylight,Male,Employee,Governmental,No defect,Slight Injury
18-30,Above 10yr,Afternoon,High school,Unknown,Automobile,Raining,Earth roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,5-10yr,Afternoon,Junior high school,Unknown,Automobile,Raining,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
Over 51,1-2yr,Afternoon,Elementary school,Unknown,Other,Raining,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,5-10yr,Afternoon,Elementary school,Unknown,Other,Raining,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,5-10yr,Afternoon,Junior high school,Unknown,Automobile,Raining,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
Over 51,1-2yr,Afternoon,Junior high school,Unknown,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,5-10yr,Evening,Junior high school,1-2yr,Lorry,Normal,Asphalt roads,Daylight,Male,Owner,Organization,No defect,Slight Injury
Over 51,Above 10yr,Evening,High school,2-5yrs,Lorry,Normal,Asphalt roads,Daylight,Female,Owner,Owner,No defect,Slight Injury
Over 51,Below 1yr,Afternoon,Unknown,2-5yrs,Automobile,Normal,Asphalt roads,Daylight,Male,Owner,Owner,No defect,Serious Injury
18-30,5-10yr,Afternoon,Writing & reading,1-2yr,Automobile,Normal,Asphalt roads,Daylight,Male,Owner,Unknown,Unknown,Serious Injury
31-50,Below 1yr,Morning,High school,2-5yrs,Public_transport,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Serious Injury
Over 51,Above 10yr,Morning,Junior high school,Unknown,Public_transport,Normal,Asphalt roads,Daylight,Female,Owner,Owner,Unknown,Slight Injury
18-30,Above 10yr,Evening,Junior high school,Unknown,Other,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,No Licence,Evening,Junior high school,1-2yr,Lorry,Raining,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
Under 18,1-2yr,Afternoon,Junior high school,Unknown,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Governmental,No defect,Slight Injury
18-30,1-2yr,Afternoon,Illiterate,Unknown,Other,Normal,Asphalt roads,Daylight,Male,Owner,Owner,No defect,Slight Injury
31-50,Below 1yr,Afternoon,Junior high school,Unknown,Motorcycle,Normal,Asphalt roads,Daylight,Male,Owner,Owner,No defect,Slight Injury
18-30,1-2yr,Evening,Junior high school,Unknown,Automobile,Normal,Asphalt roads,Daylight,Male,Owner,Owner,No defect,Serious Injury
18-30,5-10yr,Evening,Unknown,Unknown,Lorry,Normal,Asphalt roads,Daylight,Male,Owner,Owner,No defect,Slight Injury
31-50,Above 10yr,Morning,Unknown,Unknown,Automobile,Normal,Asphalt roads,Daylight,Male,Owner,Owner,No defect,Slight Injury
18-30,2-5yr,Morning,Junior high school,Unknown,Public_transport,Normal,Asphalt roads,Daylight,Male,Owner,Owner,Unknown,Slight Injury
Over 51,Above 10yr,Morning,Elementary school,Unknown,Lorry,Normal,Asphalt roads,Daylight,Male,Owner,Owner,No defect,Slight Injury
Over 51,5-10yr,Morning,Writing & reading,2-5yrs,Public_transport,Normal,Asphalt roads,Daylight,Female,Owner,Owner,Unknown,Slight Injury
31-50,Unknown,Morning,Unknown,Unknown,Lorry,Normal,Asphalt roads,Daylight,Male,Owner,Owner,Unknown,Slight Injury
18-30,5-10yr,Morning,Junior high school,Unknown,Lorry,Normal,Asphalt roads,Daylight,Male,Owner,Owner,Unknown,Slight Injury
18-30,Below 1yr,Morning,Junior high school,Unknown,Lorry,Normal,Asphalt roads,Daylight,Male,Owner,Owner,No defect,Slight Injury
18-30,2-5yr,Morning,Elementary school,Unknown,Public_transport,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
31-50,2-5yr,Morning,Junior high school,5-10yrs,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
Over 51,5-10yr,Afternoon,Junior high school,2-5yrs,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
31-50,5-10yr,Afternoon,Junior high school,1-2yr,Pickup,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
31-50,Above 10yr,Afternoon,Junior high school,5-10yrs,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
Under 18,5-10yr,Afternoon,Elementary school,Above 10yr,Public_transport,Normal,Earth roads,Darkness - lights lit,Male,Employee,Owner,Unknown,Slight Injury
Under 18,Above 10yr,Afternoon,Junior high school,2-5yrs,Automobile,Normal,Unknown,Darkness - lights lit,Male,Employee,Owner,Unknown,Slight Injury
18-30,Unknown,Evening,Elementary school,Unknown,Unknown,Normal,Unknown,Daylight,Male,Owner,Owner,No defect,Slight Injury
